交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/5/2,TXO,202405,16900,賣權,3.9,3.9,3.5,3.8,21,3.8,189,0.9,12,58,1.9,,一般,-0.4,-9.52%
2024/5/2,TXO,202405,17000,買權,-,-,-,-,0,3290,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17000,賣權,2.8,2.8,2.8,2.8,1,4.1,1054,0.9,4.8,65,2.1,,一般,-2,-41.67%
2024/5/2,TXO,202405,17100,買權,-,-,-,-,0,3190,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17100,賣權,-,-,-,-,0,4.4,204,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17200,買權,-,-,-,-,0,3090,3,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17200,賣權,5,5,4.6,4.6,3,4.6,162,0.9,12.5,77,3.2,,一般,-0.7,-13.21%
2024/5/2,TXO,202405,17300,買權,-,-,-,-,0,3000,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17300,賣權,5.1,5.1,5.1,5.1,1,5.1,168,4,12.5,91,3.7,,一般,-0.4,-7.27%
2024/5/2,TXO,202405,17400,買權,-,-,-,-,0,2900,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17400,賣權,6,6,5,5,3,5.1,266,2.8,5.8,98,2.6,,一般,-0.7,-12.28%
2024/5/2,TXO,202405,17500,買權,-,-,-,-,0,2800,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17500,賣權,6,6.2,5.1,5.1,5,5.1,594,2.5,7.5,110,3.1,,一般,-0.7,-12.07%
2024/5/2,TXO,202405,17600,買權,-,-,-,-,0,2700,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17600,賣權,6.1,6.6,5.7,5.7,33,5.7,1706,0.9,6.8,128,3.2,,一般,-0.2,-3.39%
2024/5/2,TXO,202405,17700,買權,-,-,-,-,0,2600,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17700,賣權,6.6,7,6.6,6.6,13,6.6,374,5.7,7,141,3.5,,一般,-0.3,-4.35%
2024/5/2,TXO,202405,17800,買權,-,-,-,-,0,2500,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17800,賣權,8,8,6.5,6.5,12,6.7,3331,5,7,161,2.8,,一般,-0.5,-7.14%
2024/5/2,TXO,202405,17900,買權,-,-,-,-,0,2400,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,17900,賣權,7.6,8,6.8,6.8,29,6.8,531,0.9,11,167,5,,一般,-0.4,-5.56%
2024/5/2,TXO,202405,18000,買權,-,-,-,-,0,2300,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18000,賣權,9.6,9.6,7.1,7.1,69,7.1,2694,7,12,200,6,,一般,-2.8,-28.28%
2024/5/2,TXO,202405,18100,買權,-,-,-,-,0,2200,1,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18100,賣權,9.3,9.4,7.9,8,60,8,681,7.5,15,224,5.8,,一般,-1.9,-19.19%
2024/5/2,TXO,202405,18200,買權,-,-,-,-,0,2100,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18200,賣權,9.6,10,9.6,9.6,17,8.6,2788,8,10,223,6.9,,一般,-0.4,-4%
2024/5/2,TXO,202405,18300,買權,-,-,-,-,0,2000,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18300,賣權,10.5,11,9.2,9.2,70,9.2,1126,1,10.5,271,7.2,,一般,-1.3,-12.38%
2024/5/2,TXO,202405,18400,買權,-,-,-,-,0,1900,1,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18400,賣權,13,13,10,10,118,10,1329,5,10.5,304,8.1,,一般,-1,-9.09%
2024/5/2,TXO,202405,18500,買權,1830,1830,1830,1830,1,1800,13,1780,1820,1830,950,,一般,-100,-5.18%
2024/5/2,TXO,202405,18500,賣權,16,16,11,12,201,12,2244,10,13,362,9.4,,一般,-2,-14.29%
2024/5/2,TXO,202405,18600,買權,-,-,-,-,0,1700,4,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18600,賣權,19.5,19.5,12,12,308,12,3955,11.5,13,390,9,,一般,-2.5,-17.24%
2024/5/2,TXO,202405,18700,買權,-,-,-,-,0,1610,26,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18700,賣權,17.5,17.5,13.5,14,83,14,1143,8.1,14.5,426,11.5,,一般,-1.5,-9.68%
2024/5/2,TXO,202405,18800,買權,1530,1530,1530,1530,1,1510,37,1490,1520,1570,478,,一般,-100,-6.13%
2024/5/2,TXO,202405,18800,賣權,19,19,15,16,722,16,2546,15.5,20,465,13,,一般,-2.5,-13.51%
2024/5/2,TXO,202405,18900,買權,-,-,-,-,0,1410,7,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,18900,賣權,30,30,16.5,17,225,17,1700,17,19,510,15,,一般,-3,-15%
2024/5/2,TXO,202405,19000,買權,-,-,-,-,0,1310,60,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,19000,賣權,26,26.5,19.5,20,925,20,5952,19.5,21,570,16.5,,一般,-5,-20%
2024/5/2,TXO,202405,19100,買權,1240,1240,1240,1240,1,1210,56,1210,1230,1480,305,,一般,-100,-7.46%
2024/5/2,TXO,202405,19100,賣權,31.5,31.5,22,23.5,887,23.5,2038,22,29.5,410,19.5,,一般,-4.5,-16.07%
2024/5/2,TXO,202405,19200,買權,-,-,-,-,0,1120,92,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,19200,賣權,36.5,36.5,26,29.5,1166,29.5,3222,28,30,468,22,,一般,-4,-11.94%
2024/5/2,TXO,202405,19300,買權,-,-,-,-,0,1030,107,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,19300,賣權,43,46,29.5,34,670,34,3350,33.5,34,510,26,,一般,-5.5,-13.92%
2024/5/2,TXO,202405,19400,買權,975,980,945,945,7,930,186,930,945,1520,200,,一般,-115,-10.85%
2024/5/2,TXO,202405,19400,賣權,59,59,37.5,41,485,41,3063,40,45,560,30,,一般,-5,-10.87%
2024/5/2,TXO,202405,19500,買權,895,895,850,855,3,840,319,840,855,1400,170,,一般,-120,-12.31%
2024/5/2,TXO,202405,19500,賣權,70,70,44.5,49.5,1693,49.5,4055,49,50,825,35.5,,一般,-4.5,-8.33%
2024/5/2,TXO,202405,19600,買權,785,825,730,755,28,755,447,750,765,1310,164,,一般,-125,-14.20%
2024/5/2,TXO,202405,19600,賣權,77,80,54,61,1171,61,3794,56,62,910,43,,一般,-3,-4.69%
2024/5/2,TXO,202405,19700,買權,650,740,650,675,35,675,560,665,680,1030,120,,一般,-115,-14.56%
2024/5/2,TXO,202405,19700,賣權,94,97,66,77,956,77,3114,75,77,705,50,,一般,0,0.00%
2024/5/2,TXO,202405,19800,買權,620,635,560,590,41,590,3826,585,600,1100,106,,一般,-115,-16.31%
2024/5/2,TXO,202405,19800,賣權,124,133,81,93,1117,93,4199,91,94,860,60,,一般,-1,-1.06%
2024/5/2,TXO,202405,19850,買權,550,570,550,550,4,550,2,535,555,570,550,,一般,-115,-17.29%
